name,rating,ctype,highly_rated
Ajanta Pharma,3.9,Pharma,Job Security
KFintech,3.3,Financial Services,"Promotions, Salary, Work Satisfaction"
Movate,3.1,IT Services & Consulting,"Promotions, Salary, Company Culture"
G4S,4.0,Law Enforcement & Security,"Work Life Balance, Job Security, Salary"
KPMG Global Services,3.5,Management Consulting,"Promotions, Work Satisfaction, Salary"
ACT Fibernet,3.9,Telecom,"Company Culture, Job Security, Salary"
Flex,3.9,Electronics Manufacturing,"Company Culture, Work Life Balance, Work Satisfaction"
Voltas,4.0,Consumer Electronics & Appliances,"Job Security, Work Life Balance, Company Culture"
ElasticRun,3.6,Logistics,"Job Security, Promotions, Work Satisfaction"
UnitedHealth,4.0,Healthcare,"Job Security, Work Life Balance, Company Culture"
Sonalika Tractors,3.5,Automobile,"Company Culture, Promotions, Work Life Balance"
Adani Power,3.8,Power,Promotions
IntouchCX,2.8,BPO,"Promotions, Job Security, Work Satisfaction"
NoBroker,3.0,Internet,"Work Satisfaction, Job Security, Promotions"
Himalaya Wellness,3.9,Pharma,Work Life Balance
GAO Tek,4.4,Electrical Equipment,"Skill Development, Work Life Balance, Company Culture"
BlackBuck,3.7,Internet,"Promotions, Job Security"
DBS Bank,3.7,Banking,Salary
Laurus Labs,4.3,Pharma,"Job Security, Salary, Company Culture"
Foundever,3.3,BPO,"Promotions, Salary, Work Satisfaction"
Fortis Healthcare,4.1,Healthcare,"Job Security, Skill Development, Company Culture"
Capita,3.5,BPO,"Promotions, Job Security, Skill Development"
CorroHealth Infotech,3.5,Analytics & KPO,Salary
BT Group,3.8,Telecom,"Work Life Balance, Company Culture"
Domino's Pizza,3.9,Hospitality,"Skill Development, Salary, Company Culture"
JCB,3.9,Industrial Machinery,Work Life Balance
Adani Group,3.8,Power,Salary
TaskUs,2.9,BPO,"Promotions, Job Security, Skill Development"
Whitehat jr,3.3,EdTech,"Job Security, Promotions, Company Culture"
V-Mart,4.0,Retail,"Skill Development, Job Security, Company Culture"
Northern Trust Operating Services,3.6,Financial Services,"Promotions, Work Satisfaction, Salary"
Alldigi Tech,3.7,BPO,"Promotions, Salary"
ICICI Securities,3.9,Financial Services,"Work Life Balance, Job Security, Company Culture"
Hero FinCorp,3.9,NBFC,"Work Life Balance, Company Culture"
Cadila Pharmaceuticals,3.0,Pharma,"Job Security, Promotions, Company Culture"
Tractors and Farm Equipment,4.0,Industrial Machinery,"Work Life Balance, Skill Development"
Sahrudaya Healthcare (Medicover Hospitals),4.3,Healthcare,"Work Life Balance, Skill Development, Company Culture"
Emcure Pharmaceuticals,3.6,Pharma,"Promotions, Job Security, Company Culture"
Parle Agro,3.9,Beverage,"Work Life Balance, Job Security"
Bajaj Electricals,3.8,Consumer Electronics & Appliances,"Work Life Balance, Salary"
Biocon Limited,4.0,Biotechnology,"Work Life Balance, Company Culture"
Sterlite Technologies,3.8,Hardware & Networking,"Promotions, Job Security"
Team Computers,3.7,IT Services & Consulting,"Promotions, Salary"
Newgen Software Technologies,4.1,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Intellect Design Arena,3.4,Software Product,"Promotions, Company Culture, Work Life Balance"
Mahindra Holidays & Resorts,3.5,Hospitality,"Promotions, Work Life Balance, Work Satisfaction"
Syngene International,3.6,Clinical Research,"Promotions, Salary, Work Satisfaction"
RMSI,3.6,IT Services & Consulting,"Promotions, Salary, Skill Development"
Mahindra Rural Housing Finance,4.0,NBFC,"Work Life Balance, Company Culture"
Planet Spark,3.7,EdTech,Skill Development
Datamatics Global Services,3.3,IT Services & Consulting,"Promotions, Salary, Company Culture"
Bureau Veritas,3.8,Other,Work Life Balance
McDonald's,3.8,Hospitality,"Skill Development, Job Security"
Cholamandalam MS General Insurance,3.7,Insurance,"Promotions, Work Satisfaction, Skill Development"
SBI Securities,3.5,Financial Services,"Promotions, Company Culture, Work Satisfaction"
TCE,3.9,Engineering & Construction,"Job Security, Work Life Balance"
Taj Hotels Resorts and Palaces,4.2,Hospitality,"Job Security, Company Culture, Skill Development"
3i Infotech,3.4,IT Services & Consulting,"Promotions, Salary, Job Security"
